latitude,longitude,elevation
-31.97466291,115.7739379,21.4079475402832
-33.8626151,151.2170494,16.56373405456543
-32.105226,115.937402,25.67842102050781
-37.0200982,144.84375,293.1224670410156
-37.0200982,144.84375,293.1224670410156
-31.77042659,115.7936668,23.14110374450684
-22.68805715,117.7914817,734.354248046875
-31.6798086,115.6999583,19.810302734375
-33.76110233,150.9809323,82.56946563720703
-33.79775453,150.9515467,40.14444351196289
-31.62735112,116.7506639,201.848876953125
-30.273334,150.1643137,1282.85595703125
-37.739780901042614,145.26690065860748,120.8912887573242
-33.703127,151.175341,104.4807662963867
-37.73977665886739,145.26691541075706,120.9193267822266
-37.84883251,145.29453278,128.0332183837891
-26.8006185977,153.1116060162,10.22113037109375
-33.9341896997,151.0169752081,29.40670585632324
-36.0882954831,136.7725434646,-65.12034606933594
-31.7937,116.06198,108.6025543212891
-31.7937,116.06198,108.6025543212891
-37.8,144.9,16.00275993347168
-36,136.7,143.4275512695312
-26.6,153.1,1.191557168960571
-33.4,151.5,-7.905986309051514
-27.4,152.9,106.4706268310547
-33.9,151.2,22.7932186126709
-31.8,115.8,34.55634307861328
-27.4,153.1,2.760265350341797
-31.9808612,115.7995504,16.86408233642578
-32.5214987327,151.5016125067,114.6108779907227
-37.7375103834,145.4744768143,284.6770629882812
-27.5213994,153.1106717,18.8958854675293
-35,138.6,130.478515625
-28.8,153.6,19.95768737792969
-26.8,152.9,292.0248107910156
-31.8,116.4,272.2572326660156
-41.2,146.4,52.0162239074707
-27.4,152.9,106.4706268310547
-26.4,153.1,54.56699752807617
-38.2,146.3,143.8539428710938
-32.4,151.5,95.73600006103516
-28.9,114.7,27.15118980407715
-32.4,150.7,106.0168914794922
-37.8,145.3,115.105598449707
-15.466,145.083,112.0328369140625
-15.466,145.25,21.40950584411621
-15.46812,145.17835,27.17399215698242
-15.466,145.25,21.40950584411621
-15.46812,145.17835,27.17399215698242
-20.90177,148.98746,16.29474067687988
-20.90177,148.98746,16.29474067687988
-16.483,145.466,-0.009145498275756836
-20.90177,148.98746,16.29474067687988
-17.95,146.09638,1.008285403251648
-16.483,145.466,-0.009145498275756836
-16.483,145.466,-0.009145498275756836
-21.016,123.333,250.9297485351562
-21.016,123.333,250.9297485351562
-21.016,123.333,250.9297485351562
-21.016,123.333,250.9297485351562
-21.016,123.333,250.9297485351562
-21.016,123.333,250.9297485351562
-21.016,123.333,250.9297485351562
-14.52162,132.23923,112.2951202392578
-14.52162,132.23923,112.2951202392578
-15.47,145.25,37.50354385375977
-37.88,145.3,224.7938079833984
-13.95,143.2,231.8798217773438
-27.47,153.02,20.43237686157227
-14.2,132.13,135.1241455078125
-13.95,143.2,231.8798217773438
-13.95,143.2,231.8798217773438
-12.73,143.28,40.21159744262695
-17.08,145.77,41.58797836303711
-14.5,132.2,105.1993103027344
-27.466667,153.016667,17.73125839233398
-27.466667,153.016667,17.73125839233398
-27.466667,153.016667,17.73125839233398
-12.713056,143.299438,59.1628532409668
-12.616667,143.366669,92.65050506591797
-15.466666,145.25,25.72793197631836
-12.696944,143.329727,78.13915252685547
-12.696944,143.329727,78.13915252685547
-22.241,114.081,8.321908950805664
-22.241,114.081,8.321908950805664
-24.866671,144.766693,373.8779907226562
-17.216667,145.483337,738.812744140625
-12.7625,143.286392,40.61820602416992
-13.966666,143.183334,227.1476287841797
-12.7625,143.286392,40.61820602416992
-12.713056,143.299438,59.1628532409668
-24.866671,144.766693,373.8779907226562
-27.566668,152.28334,107.342887878418
-32.13703867,116.0865186,238.4722747802734
-31.50068568,116.3770235,318.5799865722656
-33.75280127,151.2651315,87.69910430908203
-32.73747249,115.9906965,291.7719116210938
-31.97789206,115.8183471,7.74355411529541
-31.98314135,115.8198704,4.55288553237915
-31.98372159,115.8192322,4.329561710357666
-31.977739,115.81819,8.734151840209961
-31.977739,115.81819,8.734151840209961
-32.33131561,116.0544399,216.1654357910156
-31.983925,115.8195853,4.058144569396973
-33.86354516,151.215316,16.95060920715332
-33.86379,151.22062,5.20985221862793
-27.599342688943825,152.75175771690223,21.06149864196777
-12.883333333333333,131.03333333333333,56.48849868774414
-31.903531784,116.100417433,244.5096130371094
-31.98606469,115.8192536,4.19383430480957
-31.98623236,115.819045,4.302165985107422
-12.883333333333333,131.03333333333333,56.48849868774414
-13.416666666666666,132.41666666666666,184.2266082763672
-14.323207600992227,132.41870641708374,123.6872253417969
-33.83393889,151.18939444,35.31352615356445
-31.98601289,115.8192918,4.174426078796387
-17.517321061032934,146.02102518081665,8.549155235290527
-12.8,132.81666666666666,26.23473930358887
-26.8006185977,153.1116060162,6.824155330657959
-26.6400664255,152.6927222589,143.7228698730469
-26.3567310269,153.0427141725,11.66292858123779
-12.75,132.91666666666666,179.1382751464844
-26.7900627988,153.1468831373,5.524377822875977
-12.75,132.91666666666666,179.1382751464844
-35.25837569,149.1360569,574.93548583984375
-35.2777,149.118527,562.92047119140625
-33.61262463,150.7476242,24.61501884460449
-31.97715045,115.8157263,11.72543144226074
-31.97764343,115.8183621,8.550580978393555
-34.4835327,150.4135569,671.77862548828125
-35.277161,149.10997,592.49200439453125
-32.32603813,115.7665586,7.833718299865723
-32.7017833345,151.2583991353,86.44188690185547
-31.93390903,115.8921457,17.97648811340332
-21.9076858958,114.1207035642,12.21094799041748
-31.97504936,115.819236,9.440093994140625
-36.6886256937,144.305753195,182.1581420898438
-32,115.9,19.78772735595703
-31.93390903,115.8921457,17.97648811340332
-26.8,152.9,274.0198974609375
-34.1,151,183.8152923583984
-35.4,149.1,637.0531005859375
-33.8380138,151.1225221,11.39550018310547
-31.98602559,115.8192881,4.175947666168213
-33.5829635,150.6249909,392.4840087890625
-31.98607332,115.8192034,4.222139358520508
-31.8749409,115.8283887,29.94534683227539
-31.89912014,115.9657145,7.436240196228027
-12.366666666666667,130.88333333333333,26.78518486022949
-35.25031544,149.1394579,575.9935302734375
-33.77135064,150.9638279,61.11297607421875
-33.5814431,150.955906,91.936065673828125
-31.98603695,115.8193748,2.780032873153687
-35,117.9,21.89333343505859
-37.9,145.2,62.62788391113281
-31.97784364,115.8184826,7.702461719512939
-35.1,138.5,89.54053497314453
